Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       05/02/21
Time:       12:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                              
TP32       "Test point small"        TopLayer    TEST_POINT_SMD_SUPER_SMALL 11915.000     1945.000      90       ""                                                                                                                                                                       
TP31       "Test point small"        TopLayer    TEST_POINT_SMD_SUPER_SMALL 11770.000     1960.000      90       ""                                                                                                                                                                       
TP30       "Test point small"        TopLayer    TEST_POINT_SMD_SUPER_SMALL 11125.000     2230.000      90       ""                                                                                                                                                                       
TP28       "Test point small"        TopLayer    TEST_POINT_SMD_SUPER_SMALL 11120.000     2290.000      90       ""                                                                                                                                                                       
R98        10K                       TopLayer    0201_RESISTOR              11250.000     2365.000      0        ""                                                                                                                                                                       
C14        100uF                     BottomLayer 0805_TANTALUM              11858.166     2713.741      360      "Cap Tant Solid 100uF 6.3V P CASE 20% (2.4 X 1.45 X 1.1mm) SMD 2 Ohm 125C T/R"                                                                                           
J1         629105150921              TopLayer    629105150921               11838.862     2415.276      90       "Micro USB 2.0 Type AB Receptacle WR-COM, Horizontal, SMT"                                                                                                               
P3         DNP                       BottomLayer HDR1X2                     11910.000     2385.000      90       DNP                                                                                                                                                                      
TP29       "Test point small"        BottomLayer TEST_POINT_SMD_SUPER_SMALL 11205.000     2220.000      90       ""                                                                                                                                                                       
TP17       "Test point small"        BottomLayer TEST_POINT_SMD_SUPER_SMALL 10705.000     1910.000      90       ""                                                                                                                                                                       
TP8        "Test point small"        BottomLayer TEST_POINT_SMD_SUPER_SMALL 11005.000     2140.000      90       ""                                                                                                                                                                       
U14        MDBT50Q-1MV2              TopLayer    MDBT50Q-1MV2               11516.929     2249.567      180      "MDBT50Q-1M NRF52840 BASED BLE MO"                                                                                                                                       
U18        LMV321M7                  BottomLayer DCK0005A_L                 11230.000     2875.000      90       "General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers, 5-pin SC-70"                                                                                  
C77        0.1uF                     BottomLayer 0402_CAPACITOR             11315.023     2919.072      180      "Capacitor, X7R, ±10%"                                                                                                                                                   
C76        0.1uF                     BottomLayer 0402_CAPACITOR             10994.977     2930.928      360      "Capacitor, X7R, ±10%"                                                                                                                                                   
